Rank Name           Elo    +    - games score oppo. draws 
   1 mcts_500       536   42   42   480   76%   -96    0% 
   2 gmcgs_1000     534   42   42   480   76%   -95    0% 
   3 mcts_1000      531   42   42   480   75%   -94    0% 
   4 gmcgs_500      529   42   42   480   75%   -94    0% 
   5 gmcgs_2000     525   38   38   540   73%   -37    0% 
   6 mcgs_2000      517   38   38   540   72%   -35    0% 
   7 mcgs_1000      515   42   42   480   74%   -90    0% 
   8 mcgs_500       514   42   42   480   74%   -90    0% 
   9 mcts_2000      514   42   42   480   75%  -104    0% 
  10 gmcgs_5000     449   18   18  1620   59%   242    0% 
  11 mcgs_5000      437   38   38   540   72%  -137    0% 
  12 mcts_5000      434   18   18  1560   56%   246    0% 
  13 ab_1000       -337  143  143   480   25%   123    0% 
  14 ab_500        -337  143  143   480   25%   123    0% 
  15 ab_2000       -351  145  145   480   25%   112    0% 
  16 ab_5000       -470  162  162   480   25%    16    0% 
  17 minimax_1000 -1089  225  225   480    0%   311    0% 
  18 minimax_500  -1089  225  225   480    0%   310    0% 
  19 minimax_2000 -1107  228  228   480    0%   301    0% 
  20 minimax_5000 -1255  249  249   480    0%   213    0% 
